,0: 0.0E+00 0.0E+00,1: 0.0E+00 0.0E+00,2: 0.0E+00 0.0E+00,3: 0.0E+00 0.0E+00,4: 0.0E+00 0.0E+00,5: 0.0E+00 0.0E+00
39.4,0.0688597,0.0992705,0.12085,0.151315,0.177642,0.370238
39.6,0.0683858,0.0992177,0.12121,0.151033,0.177914,0.376109
39.8,0.0694174,0.100196,0.120849,0.150563,0.178706,0.380736
40.0,0.0683077,0.0998401,0.118937,0.151291,0.179695,0.387391
40.2,0.0671962,0.0993318,0.119146,0.151128,0.180109,0.39448
40.4,0.0661659,0.0989046,0.118875,0.152076,0.179984,0.400055
40.6,0.0663731,0.098467,0.117455,0.152166,0.179345,0.405758
40.8,0.0648519,0.098029,0.118552,0.152138,0.179101,0.412882
41.0,0.066445,0.0983492,0.119495,0.152081,0.178128,0.418083
41.2,0.0681402,0.0977108,0.118952,0.152768,0.178074,0.423783
41.4,0.0665746,0.0972808,0.119051,0.152236,0.17821,0.430103
41.6,0.0664564,0.0988479,0.120714,0.152859,0.179102,0.435858
41.8,0.0669778,0.0989973,0.119728,0.15353,0.178673,0.440683
42.0,0.0665976,0.0980245,0.119487,0.152946,0.179131,0.446611
42.2,0.0662518,0.0983204,0.119412,0.152026,0.178922,0.450922
42.4,0.067712,0.0990165,0.119166,0.1524,0.179472,0.45582
42.6,0.0689444,0.0981736,0.118858,0.152237,0.178834,0.459606
42.8,0.0693781,0.09784,0.11865,0.152291,0.179616,0.464307
43.0,0.0691103,0.0988852,0.119726,0.152825,0.179782,0.46963
43.2,0.0680297,0.0985888,0.119898,0.15368,0.179826,0.474577
43.4,0.0676739,0.0990351,0.11981,0.153811,0.18052,0.479256
43.6,0.0668835,0.0992632,0.119235,0.155014,0.181025,0.484899
43.8,0.0668998,0.0983897,0.119334,0.155004,0.180294,0.490162
44.0,0.0663331,0.0983232,0.119063,0.155199,0.179904,0.494719
44.2,0.0681209,0.0984994,0.118836,0.155482,0.180514,0.499945
44.4,0.0684386,0.097703,0.119399,0.155821,0.180413,0.504755
44.6,0.0669092,0.0967228,0.120139,0.154938,0.179994,0.509475
44.8,0.0658864,0.0972537,0.120401,0.156075,0.180598,0.513751
45.0,0.0669384,0.0973108,0.119433,0.156239,0.181169,0.518797
45.2,0.0659836,0.0979814,0.120394,0.155516,0.180622,0.523727
45.4,0.0652747,0.0979429,0.121008,0.155103,0.18059,0.528973
45.6,0.0662154,0.0984279,0.120452,0.154524,0.18098,0.533887
45.8,0.0672133,0.0997303,0.121124,0.152695,0.181326,0.538146
46.0,0.0663559,0.0984889,0.120974,0.153444,0.181794,0.541117
46.2,0.0664483,0.0981082,0.119788,0.153816,0.181469,0.545239
46.4,0.0668733,0.0979858,0.119155,0.154349,0.181554,0.547722
46.6,0.0664608,0.0981845,0.119626,0.155108,0.181128,0.552661
46.8,0.0656747,0.0964172,0.119714,0.1562,0.180616,0.557986
47.0,0.066439,0.0972159,0.120206,0.156031,0.179861,0.563326
47.2,0.0649059,0.0966571,0.121237,0.15585,0.180941,0.567562
47.4,0.0651802,0.0955907,0.121284,0.154935,0.180976,0.574184
47.6,0.0667006,0.0948843,0.120948,0.15493,0.181822,0.577764
47.8,0.0663377,0.0945325,0.120243,0.15471,0.182176,0.581954
48.0,0.0661658,0.0938068,0.119663,0.154256,0.182762,0.586075
48.2,0.068021,0.0933773,0.119234,0.15472,0.181981,0.589389
48.4,0.0663811,0.094354,0.118768,0.154985,0.181789,0.592479
48.6,0.0663769,0.0940523,0.118852,0.154831,0.181544,0.59656
48.8,0.0673804,0.095474,0.11874,0.155724,0.18131,0.598883
49.0,0.0665151,0.0958852,0.119524,0.155281,0.181148,0.602697
49.2,0.0657018,0.0959507,0.119245,0.15484,0.181314,0.60643
49.4,0.0666212,0.0961496,0.119583,0.155723,0.181531,0.609136
49.6,0.0649507,0.0978452,0.120186,0.155213,0.181873,0.612329
49.8,0.064606,0.0968234,0.120506,0.154245,0.181934,0.617664
50.0,0.0652591,0.0962945,0.120961,0.155322,0.182124,0.621046
50.2,0.064568,0.0970395,0.120884,0.155157,0.182376,0.625083
50.4,0.0645408,0.0966012,0.121125,0.154194,0.182778,0.629441
50.6,0.065458,0.0951535,0.120739,0.154647,0.183682,0.632993
50.8,0.0652841,0.0959152,0.119963,0.154756,0.18451,0.636962
51.0,0.0643379,0.095932,0.120261,0.154306,0.184741,0.63981
51.2,0.065661,0.0955695,0.120768,0.154995,0.185528,0.642896
51.4,0.0656535,0.0956991,0.12119,0.15604,0.185393,0.646168
51.6,0.065846,0.0965857,0.121821,0.155592,0.18528,0.649905
51.8,0.0664085,0.0951304,0.122773,0.156354,0.184306,0.652355
52.0,0.0664857,0.0951134,0.122373,0.156149,0.184474,0.656764
52.2,0.0659093,0.0959219,0.122869,0.156873,0.184329,0.660512
52.4,0.0659202,0.0963064,0.122328,0.156092,0.184053,0.66405
52.6,0.0663657,0.0958227,0.121313,0.157188,0.183855,0.66772
52.8,0.0656495,0.0966805,0.121769,0.156667,0.184051,0.67131
53.0,0.0660688,0.0970386,0.121767,0.156582,0.184249,0.674752
53.2,0.0661734,0.0951644,0.121559,0.156142,0.184375,0.67777
53.4,0.0664766,0.0947417,0.121574,0.156698,0.184361,0.680861
53.6,0.065886,0.0946918,0.122179,0.157271,0.183602,0.683335
53.8,0.0669663,0.0948387,0.122182,0.15737,0.18469,0.68556
54.0,0.0674124,0.0950619,0.122351,0.15735,0.184061,0.688615
54.2,0.066776,0.0960476,0.122835,0.156778,0.183744,0.692127
54.4,0.0666356,0.0958606,0.123115,0.156777,0.183925,0.694397
54.6,0.0661109,0.0947903,0.124353,0.155465,0.184556,0.698005
54.8,0.0648261,0.0960368,0.124745,0.155429,0.183684,0.701864
55.0,0.0649565,0.0958162,0.123991,0.156921,0.185034,0.70475
55.2,0.0649357,0.0953645,0.124053,0.157017,0.18558,0.707872
55.4,0.0645265,0.0955856,0.123753,0.157224,0.186454,0.711338
